SWIFT/BIC Code,Country Code,Bank Name,Routing Number,Currency Code
BOFAUS3NXXX,US,Bank of America N.A.,026009593,USD
CHASUS33XXX,US,JPMorgan Chase Bank, N.A.,021000021,USD
WFBIUS6SXXX,US,Wells Fargo Bank, N.A.,121000248,USD
ROYCCAT2XXX,CA,RBC Royal Bank,003,CAD
TDOMCATTTOR,CA,Toronto-Dominion Bank (TD),004,CAD
BOFMCAM2XXX,CA,Bank of Montreal,001,CAD
NOSCCATTXXX,CA,The Bank of Nova Scotia,002,CAD
DBSSSGSG,SG,DBS Bank,,SGD
EBILAEADXXX,AE,Emirates NBD Bank, PJSC,,AED
SBZAZAJJ,ZA,Standard Bank of South Africa, The,,ZAR
GTBINGLA,NG,Guaranty Trust Bank PLC,,NGN
SBININBB,IN,State Bank of India,,INR
CHASUS33,US,JPMorgan Chase Bank,021000021,USD
DEUTDEFF,DE,Deutsche Bank AG,50070010,EUR
BARCGB22,GB,Barclays Bank PLC,20-45-45,GBP
UBSWCHZH80A,CH,UBS Switzerland AG,243,CHF
BOTKJPJT,JP,MUFG Bank Ltd,0005,JPY
ROYCCAT2,CA,Royal Bank of Canada,000300004,CAD
CTBAAU2S,AU,Commonwealth Bank of Australia,062000,AUD
BNPAFRPP,FR,BNP Paribas SA,30004,EUR
SBININBB104,IN,State Bank of India,SBIN0000001,INR
ICBKCNBJ,CN,Industrial and Commercial Bank of China,102100099,CNY
HSBCHKHH,HSBC Hong Kong,001,HKD
ITMRITMM,Italy,Intesa Sanpaolo S.p.A.,03069,EUR
SCBLKENX,Kenya,Standard Chartered Kenya,SCBLKENXXXX,KES
CITIUS33,US,Citibank N.A.,021000089,USD
WELLSFARG,US,Wells Fargo Bank,121000248,USD
SCBLUS33,US,Standard Chartered USA,026009593,USD
HSBCGB2L,GB,HSBC UK,40-44-04,GBP
NWBKGB2L,GB,NatWest Group,60-00-00,GBP
LLOYGB2L,GB,Lloyds Bank,30-00-00,GBP
COMMDEFF,DE,Commerzbank AG,40080000,EUR
HYVEDEMM,DE,UniCredit Bank AG,70020270,EUR
CRLYFRPP,FR,Crédit Lyonnais,30002,EUR
SOGEFRPP,FR,Société Générale,30003,EUR
UBSWCHZH,CH,UBS Group AG,244,CHF
CRESCHZZ,CH,Credit Suisse,4835,CHF
CIBVBRSP,BR,Banco Votorantim,6550001,BRL
BSCHBRSP,BR,Santander Brasil,90400888,BRL
SCOTMXMM,MX,Scotiabank Mexico,044180002,MXN
BAMXMXMM,MX,Banco Azteca,370000001,MXN
NEDSZAJJ,ZA,Nedbank,198765,ZAR
DBSBSGSG,SG,DBS Bank,7171,SGD
OCBCSGSG,SG,OCBC Bank,7339,SGD
KOEXKRSE,KR,Korea Exchange Bank,026,KWR
SHBKKRSE,KR,Shinhan Bank,088,KRW
SBERRUMM,RU,Sberbank,044525225,RUB
VTBRRUMM,RU,VTB Bank,044525187,RUB
ANZBAU3M,AU,ANZ Banking Group,013000,AUD
WESTPAC,AU,Westpac Banking Corp,037000,AUD
TDOMCATT,CA,TD Canada Trust,000402994,CAD
BMOCCAMT,CA,Bank of Montreal,000138295,CAD
BKTOTRIS,TR,Türkiye İş Bankası,64,TRY
AKBKTRIS,TR,Akbank T.A.Ş.,46,TRY
UNCRITMM,Italy,UniCredit S.p.A.,02008,EUR
BCEELULL,Luxembourg,BCEE,001,EUR
INGBNL2A,Netherlands,ING Bank,INGBNL2A,EUR
CAIXESBB,Spain,CaixaBank,2100,EUR
BESCPTPL,Portugal,Novo Banco,0007,EUR
NBPLT21,Lithuania,Šiaulių Bankas,73000,EUR
HANDFIHH,Finland,Handelsbanken,300,HUF
DEUTAU2S,Australia,Deutsche Bank AG,064000,AUD
HKBCCATT,Canada,Hongkong and Shanghai Banking Corp,000101716,CAD
IBOSINBB,India,Indian Overseas Bank,IOBA0000001,INR
BKCHAU2S,AU,Bank of China (Australia) Limited,061-002,AUD
BNPAAU2S,AU,BNP Paribas Australia,082-001,AUD
HSBCNZ2A,NZ,HSBC New Zealand,12-3000,NZD
ASBKNZ2A,NZ,ASB Bank Limited,12-3080,NZD
KREDBEBB,BE,KBC Bank N.V.,733-000,BEL
COBADEFF,DE,Commerzbank AG,10040000,EUR
RABONL2U,NL,Rabobank,30001,EUR
ABNANL2A,NL,ABN AMRO Bank N.V.,30002,EUR
BOFAUS3N,US,Bank of America N.A.,026009593,USD
WFBIUS6S,US,Wells Fargo Bank N.A.,121000248,USD
BOFMCAM2,CA,Bank of Montreal,001,CAD
NOSCCATT,CA,Scotiabank,002,CAD
BKCHCNBJ,CN,Bank of China,104100000004,CNY
HSBCCNSH,CN,HSBC Bank (China) Company Limited,102290000018,CNY
CIBKCNBJ,CN,China CITIC Bank,302100000000,CNY